Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Profit Margin (%),Shipping Cost,Order Priority,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1010,2024-06-07,2024-06-13,CUST887,Carol Moses,Home Office,PROD9479,Headphones,Electronics,West,Pennsylvania,Vazquezshire,4,9930,10,35748.0,21674.38,14073.62,39.37,333,High,Credit Card,Delivered,Jenkins PLC,justinjohnson@morgan.com,37,No,0
ORD1011,2025-10-29,2025-10-30,CUST120,Christopher Smith,Consumer,PROD1514,Pen,Office Supplies,East,Mississippi,North Robinmouth,12,86,15,877.2,582.7,294.5,33.57,117,Low,Net Banking,Delivered,Potter-Martinez,fergusonbenjamin@nguyen-davidson.com,36,No,0
ORD1012,2024-12-24,2024-12-26,CUST616,Karen Bowman,Consumer,PROD8062,Office Chair,Furniture,East,New Mexico,Joshuaside,12,16879,0,202548.0,162445.39,40102.61,19.8,380,High,UPI,Returned,Valenzuela PLC,alejandraodom@moore-knight.com,3,Yes,32
ORD1013,2025-04-10,2025-04-17,CUST454,Brian Lewis,Consumer,PROD8350,Calculator,Office Supplies,South,Tennessee,Jesusmouth,3,266,5,758.1,653.74,104.36,13.77,88,Medium,Cash,Delivered,"Rodriguez, Navarro and Garza",lindabanks@vaughn.com,35,No,0
ORD1014,2025-06-29,2025-06-30,CUST753,Laurie Robinson,Consumer,PROD3724,Study Table,Furniture,West,Kansas,Port Jillianfurt,9,18913,0,170217.0,110537.41,59679.59,35.06,51,Medium,Net Banking,Returned,Richards and Sons,breanna35@johnson.com,16,No,0
ORD1015,2024-10-04,2024-10-07,CUST948,Kevin Delgado,Home Office,PROD4111,Cooking Oil,Grocery,East,Massachusetts,South Alicia,3,242,0,726.0,446.52,279.48,38.5,294,Low,Credit Card,Delivered,"Marshall, Peters and Lynch",jennifer18@mcdowell.com,33,No,0
ORD1016,2025-02-24,2025-02-25,CUST282,Teresa Lewis,Consumer,PROD2113,Dining Table,Furniture,South,Minnesota,South Patrick,2,16230,20,25968.0,17498.92,8469.08,32.61,354,High,Cash,Pending,"Graves, Russell and Hale",okey@jones-stanley.com,39,No,0
ORD1017,2024-09-14,2024-09-18,CUST778,Leslie Taylor,Home Office,PROD4346,Mouse,Electronics,East,Vermont,West Stephanieport,7,17642,10,111144.6,81932.17,29212.43,26.28,434,High,Cash,Delivered,Brown-Mitchell,donnawolf@schroeder-fernandez.com,0,Yes,34
ORD1018,2025-09-13,2025-09-14,CUST718,Jessica Strickland,Corporate,PROD2127,Stapler,Office Supplies,South,Florida,Parkerview,6,239,20,1147.2,930.45,216.75,18.89,363,Low,Cash,Delivered,Bryant Ltd,ralphhenry@colon.com,33,No,0
ORD1019,2025-03-08,2025-03-14,CUST506,Michael Davis,Home Office,PROD5333,Study Table,Furniture,North,Kentucky,Port Angelabury,10,6507,20,52056.0,34522.96,17533.04,33.68,225,High,UPI,Delivered,Fischer-Medina,patrickharrell@medina-bailey.net,43,No,0
ORD1020,2024-10-25,2024-10-30,CUST252,Melinda Burch,Consumer,PROD1722,Sugar,Grocery,North,Kentucky,South Taylor,7,361,15,2147.95,1644.26,503.69,23.45,268,Low,Cash,Delivered,Olson-Bennett,kelly68@combs.net,0,Yes,23
ORD1021,2025-08-04,2025-08-10,CUST758,Leslie Pittman,Consumer,PROD3426,Monitor,Electronics,West,Connecticut,Lewisfort,1,10352,0,10352.0,9002.9,1349.1,13.03,157,Low,Cash,Delivered,"Brown, Sweeney and Marshall",anne84@allen.com,15,No,0
ORD1022,2024-11-13,2024-11-16,CUST616,Diana Baird,Home Office,PROD3662,Notebook,Office Supplies,South,South Dakota,Port Nathanielburgh,4,261,10,939.6,784.3,155.3,16.53,260,Low,Credit Card,Delivered,Aguilar Group,susan96@williams.com,47,No,0
ORD1023,2024-09-07,2024-09-10,CUST122,Michelle Berry,Consumer,PROD8711,Rice Bag,Grocery,South,South Dakota,Justinview,13,224,5,2766.4,1844.85,921.55,33.31,387,High,UPI,Delivered,"Ortega, Cunningham and Solomon",harrissherry@mcfarland.net,25,No,0
ORD1024,2024-11-03,2024-11-06,CUST991,Suzanne King,Corporate,PROD7548,Monitor,Electronics,East,New Hampshire,Christopherton,7,3808,10,23990.4,14669.58,9320.82,38.85,355,Medium,UPI,Delivered,Thornton-Greer,andresbeck@burke.net,22,No,0
ORD1025,2025-11-13,2025-11-17,CUST723,Taylor Barnes,Consumer,PROD4114,Juice Pack,Grocery,East,Georgia,Harrellmouth,9,65,20,468.0,377.23,90.77,19.39,429,Low,Credit Card,Delivered,Brown Ltd,wwelch@valentine-hernandez.biz,42,No,0
ORD1026,2025-09-02,2025-09-05,CUST880,Shane Lloyd,Corporate,PROD5920,Laptop,Electronics,East,Maine,Lake Jamie,7,45705,10,287941.5,220656.41,67285.09,23.37,148,Medium,Net Banking,Delivered,Ruiz-Fuller,jessica51@smith.com,42,No,0
ORD1027,2025-08-27,2025-09-02,CUST378,Miss Leslie Nolan DDS,Home Office,PROD9977,Headphones,Electronics,North,Texas,Carterburgh,7,21914,20,122718.4,95965.6,26752.8,21.8,214,Medium,Net Banking,Delivered,"Rasmussen, Miller and Ramos",qfoley@kelly.info,28,No,0
ORD1028,2025-07-15,2025-07-21,CUST115,Jonathan Holmes,Home Office,PROD5649,Pen,Office Supplies,East,Arkansas,Terriview,4,97,5,368.6,310.35,58.25,15.8,125,High,Net Banking,Delivered,Parsons-Jensen,meltonjoseph@scott.com,2,Yes,27
ORD1029,2026-02-05,2026-02-10,CUST274,Julia Jones,Corporate,PROD4185,Juice Pack,Grocery,West,Kansas,New Christinafort,7,526,0,3682.0,3195.23,486.77,13.22,490,High,Net Banking,Delivered,Nielsen-Jones,austinmoreno@wells-patterson.info,49,No,0
ORD1030,2024-10-17,2024-10-19,CUST130,Anthony Tanner,Home Office,PROD5082,Rice Bag,Grocery,North,Utah,New Nicholas,8,487,20,3116.8,2426.85,689.95,22.14,436,Medium,Net Banking,Delivered,"Wilson, Watson and Marshall",elizabethjames@dickerson.org,39,No,0
ORD1031,2024-06-14,2024-06-21,CUST656,Paul Brown,Consumer,PROD5246,Snacks,Grocery,South,Kansas,Lake James,8,880,20,5632.0,4197.98,1434.02,25.46,172,Medium,Cash,Delivered,Smith LLC,osborneamy@goodman.com,28,No,0
ORD1032,2025-03-08,2025-03-14,CUST108,Kathy King,Corporate,PROD2320,Monitor,Electronics,South,Montana,Watkinsfurt,6,11884,5,67738.8,41948.52,25790.28,38.07,258,Medium,Net Banking,Delivered,Castillo-Jones,sfriedman@smith.com,34,No,0
ORD1033,2025-09-10,2025-09-14,CUST126,Ann Scott,Corporate,PROD1320,Juice Pack,Grocery,West,Washington,New Joy,1,508,10,457.2,377.67,79.53,17.4,486,Medium,Credit Card,Pending,"Barnes, Bradshaw and Smith",mharrell@greene-thomas.com,34,No,0
ORD1034,2024-07-08,2024-07-12,CUST113,Robert Perry,Corporate,PROD6507,Bookshelf,Furniture,West,Connecticut,Port Benjaminburgh,8,8408,20,53811.2,40909.27,12901.93,23.98,251,Low,Cash,Pending,Harris-Butler,eellis@myers.com,36,No,0
ORD1035,2024-12-26,2024-12-27,CUST338,Lisa Cochran DVM,Corporate,PROD5262,Pen,Office Supplies,West,New Jersey,Courtneyberg,9,217,15,1660.05,1134.61,525.44,31.65,475,Medium,Cash,Delivered,"Ortiz, Davis and Wood",armstrongtammy@johnson.com,16,No,0
ORD1036,2025-05-19,2025-05-23,CUST117,Jennifer Dodson,Consumer,PROD2124,Keyboard,Electronics,North,Montana,North Roberttown,6,4033,0,24198.0,19029.32,5168.68,21.36,172,High,Cash,Delivered,"Ayers, Wagner and Washington",carterchad@anderson.info,30,No,0
ORD1037,2025-07-17,2025-07-22,CUST676,Julie Brown,Home Office,PROD3749,Mouse,Electronics,North,Rhode Island,East Kevin,7,12732,0,89124.0,78310.24,10813.76,12.13,344,Low,Net Banking,Delivered,Holmes LLC,stephaniesalinas@flores.info,24,No,0
ORD1038,2025-12-09,2025-12-15,CUST118,Kayla Smith,Home Office,PROD5941,Pen,Office Supplies,North,Illinois,Andersonmouth,12,457,15,4661.4,3721.92,939.48,20.15,85,Low,UPI,Delivered,"Grimes, Lawson and Johnson",sean04@montes.biz,41,No,0
ORD1039,2024-08-10,2024-08-11,CUST701,Scott Clark,Consumer,PROD8532,Sugar,Grocery,South,Nebraska,Stephanieview,9,465,10,3766.5,2955.85,810.65,21.52,325,Medium,Net Banking,Delivered,Gould-Gordon,gfox@best.com,29,No,0
ORD1040,2025-02-11,2025-02-18,CUST474,Chelsea Hunt,Corporate,PROD5569,Pen,Office Supplies,West,Alabama,Port Ryanfort,8,174,15,1183.2,829.33,353.87,29.91,303,Medium,Net Banking,Delivered,Sloan and Sons,kathyanderson@cummings.com,11,No,0
ORD1041,2024-07-03,2024-07-05,CUST464,Daniel Hicks,Corporate,PROD5526,Monitor,Electronics,North,Florida,Walshmouth,6,35857,15,182870.7,136526.39,46344.31,25.34,438,High,Net Banking,Delivered,Hale-Calhoun,richard08@ellison.com,44,No,0
ORD1042,2025-02-26,2025-03-04,CUST658,Daniel Fisher,Consumer,PROD4630,Sofa,Furniture,West,Texas,Diazberg,5,10972,10,49374.0,36634.43,12739.57,25.8,321,Medium,UPI,Delivered,Rangel PLC,brittanymarquez@smith.info,27,No,0
ORD1043,2024-08-12,2024-08-15,CUST477,Michael Mcdowell,Corporate,PROD2976,Keyboard,Electronics,South,Nebraska,Christensenside,2,22679,5,43090.1,28330.12,14759.98,34.25,428,Medium,UPI,Delivered,Thompson Inc,jasmin46@schwartz.org,17,No,0
ORD1044,2025-08-26,2025-08-27,CUST503,Rebecca Hall,Consumer,PROD5952,Keyboard,Electronics,North,South Carolina,Mooreton,11,48400,0,532400.0,475054.39,57345.61,10.77,333,Medium,Credit Card,Delivered,"Mckee, King and Lee",melissarodriguez@bates.com,44,No,0
ORD1045,2025-12-28,2026-01-03,CUST702,Edward Vaughan,Consumer,PROD5658,Dining Table,Furniture,West,Kentucky,Donaldchester,13,18686,10,218626.2,192898.07,25728.13,11.77,294,High,Net Banking,Pending,Morrison-Howell,amandastanley@webster.biz,4,Yes,32
ORD1046,2026-01-22,2026-01-23,CUST902,Katherine Rogers,Consumer,PROD5978,Notebook,Office Supplies,North,Massachusetts,South Brianastad,2,177,15,300.9,235.27,65.63,21.81,454,Low,Net Banking,Delivered,Peters PLC,gstevens@scott.com,14,No,0
ORD1047,2024-08-29,2024-09-02,CUST504,Donald Mitchell,Home Office,PROD1986,Sugar,Grocery,North,Massachusetts,Bennettland,4,990,10,3564.0,2844.53,719.47,20.19,130,High,Cash,Delivered,Sharp Inc,robertbaldwin@kim-gordon.info,11,No,0
ORD1048,2024-10-31,2024-11-02,CUST114,Mrs. Barbara Brown MD,Home Office,PROD1534,Sugar,Grocery,South,New Jersey,Campbellshire,13,315,5,3890.25,3412.42,477.83,12.28,453,Low,Credit Card,Delivered,Bentley-Shannon,zacharyarnold@lyons.com,37,No,0
ORD1049,2025-06-06,2025-06-10,CUST107,Michelle Mercado,Home Office,PROD3330,Stapler,Office Supplies,North,Illinois,South Donald,3,80,20,192.0,158.34,33.66,17.53,341,Medium,Cash,Delivered,"Bryant, Tyler and Clayton",connietorres@stevenson-hernandez.com,28,No,0
ORD1050,2026-01-09,2026-01-13,CUST916,Christopher Herrera,Corporate,PROD9847,Monitor,Electronics,West,Arkansas,Crystalside,2,30688,15,52169.6,42797.86,9371.74,17.96,359,Medium,Credit Card,Delivered,Lowe-Johnson,johnsonjulie@davis.com,1,Yes,22
ORD1051,2025-07-09,2025-07-15,CUST789,Joseph Kelly,Home Office,PROD1659,Sofa,Furniture,South,Oregon,Shannonchester,9,18417,10,149177.7,97628.86,51548.84,34.56,349,Medium,Net Banking,Delivered,"Alvarez, Brown and Mcdaniel",jessica39@villegas.com,40,No,0
ORD1052,2024-11-20,2024-11-21,CUST618,Lisa Austin,Corporate,PROD3634,Laptop,Electronics,East,New Mexico,West Cynthiastad,12,28977,15,295565.4,249477.83,46087.57,15.59,331,High,Cash,Delivered,Horn LLC,uwilliams@graham.com,29,No,0
ORD1053,2025-08-05,2025-08-08,CUST103,Douglas Levy,Corporate,PROD8569,Dining Table,Furniture,West,Tennessee,Hernandezton,4,4776,20,15283.2,12638.18,2645.02,17.31,370,Medium,Cash,Delivered,Hanson-Brown,muellermaria@day-nguyen.info,48,No,0
ORD1054,2025-03-03,2025-03-05,CUST104,Anthony Gross,Corporate,PROD2989,Snacks,Grocery,North,Nevada,Angelastad,10,665,5,6317.5,4379.45,1938.05,30.68,57,Low,Cash,Delivered,Davis Inc,lsmith@bryant.com,26,No,0
ORD1055,2025-06-17,2025-06-19,CUST316,Joyce Brandt,Corporate,PROD9165,Study Table,Furniture,East,Nebraska,Torresstad,5,19674,15,83614.5,74757.5,8857.0,10.59,174,Medium,Credit Card,Delivered,"Cox, Weaver and Spencer",llee@jones-bailey.com,35,No,0
ORD1056,2024-05-27,2024-05-31,CUST119,Alexandra Martinez,Home Office,PROD5526,Pen,Office Supplies,West,Texas,West Baileyville,9,224,0,2016.0,1380.66,635.34,31.51,202,Low,Net Banking,Delivered,French-Vazquez,eharrison@johnson-davis.com,37,No,0
ORD1057,2026-01-07,2026-01-14,CUST117,Thomas Ferguson,Corporate,PROD9903,Mouse,Electronics,West,Wisconsin,West Bryanberg,6,31841,5,181493.7,140029.52,41464.18,22.85,169,Medium,Net Banking,Returned,"Jones, Padilla and Parker",ogallegos@rogers.com,2,Yes,30
ORD1058,2024-12-15,2024-12-21,CUST590,Dustin Robinson,Corporate,PROD1606,File Folder,Office Supplies,South,North Carolina,East Amybury,15,307,15,3914.25,2465.64,1448.61,37.01,283,High,Credit Card,Returned,"Braun, Baker and Green",gsmith@calderon.com,46,No,0
ORD1059,2025-02-02,2025-02-06,CUST358,Gregory Freeman,Consumer,PROD6546,Sugar,Grocery,West,Idaho,Jessicaburgh,4,685,20,2192.0,1565.09,626.91,28.6,212,Low,Net Banking,Returned,Hanson-Obrien,rachel63@lawrence-wells.info,45,No,0
ORD1060,2026-03-29,2026-04-05,CUST832,Mr. Brian Hanson,Consumer,PROD4727,Stapler,Office Supplies,North,Washington,East Teresamouth,5,272,0,1360.0,997.02,362.98,26.69,405,Medium,UPI,Delivered,Wright-Glass,bhall@merritt.info,1,Yes,21
ORD1061,2025-01-25,2025-02-01,CUST111,Joe Sellers,Corporate,PROD5000,Cooking Oil,Grocery,West,Alabama,West Jeff,4,599,20,1916.8,1650.85,265.95,13.87,367,Low,Net Banking,Delivered,Jackson-Bell,fphillips@montgomery-kemp.com,15,No,0
ORD1062,2025-11-04,2025-11-09,CUST114,Stephen Owens,Home Office,PROD5183,Headphones,Electronics,North,Wisconsin,Morganborough,10,32490,10,292410.0,262085.77,30324.23,10.37,203,Low,UPI,Delivered,Fletcher LLC,marycraig@green.biz,27,No,0
ORD1063,2025-12-13,2025-12-17,CUST403,Aaron Powell,Corporate,PROD4886,Rice Bag,Grocery,West,Massachusetts,East Amandaside,13,605,15,6685.25,4561.64,2123.61,31.77,339,Low,Cash,Delivered,Robinson LLC,rubenmann@lopez.com,49,No,0
ORD1064,2025-06-02,2025-06-07,CUST493,Sean Hammond,Consumer,PROD4115,Keyboard,Electronics,East,South Carolina,Bondstad,3,46417,0,139251.0,96456.36,42794.64,30.73,275,High,UPI,Delivered,Choi PLC,adrianaross@garcia-macdonald.com,37,No,0
ORD1065,2024-10-13,2024-10-19,CUST129,David Clay MD,Corporate,PROD3877,Headphones,Electronics,South,Idaho,West Amandaberg,16,10661,10,153518.4,130358.89,23159.51,15.09,181,Medium,UPI,Delivered,Taylor LLC,debbie81@potter-rodriguez.org,18,No,0
ORD1066,2025-09-25,2025-10-02,CUST130,Susan Jackson,Consumer,PROD7511,Notebook,Office Supplies,East,Missouri,Wilsontown,7,96,20,537.6,342.49,195.11,36.29,238,Low,UPI,Delivered,"Marquez, Reeves and Spence",laurenscott@wilkins-khan.org,47,No,0
ORD1067,2025-07-07,2025-07-12,CUST853,Carly Hudson,Corporate,PROD8724,Study Table,Furniture,North,Texas,East Elizabeth,10,13748,0,137480.0,108694.6,28785.4,20.94,287,Low,Net Banking,Delivered,"Stewart, Parsons and Sandoval",gcollins@moss.com,19,No,0
ORD1068,2024-11-14,2024-11-15,CUST130,Catherine Blake,Consumer,PROD2902,Headphones,Electronics,North,Tennessee,Ethanview,14,17387,10,219076.2,175511.99,43564.21,19.89,430,Low,Net Banking,Delivered,"Chaney, Nelson and Singh",mcphersonrachel@anderson.com,34,No,0
ORD1069,2025-07-24,2025-07-29,CUST358,Michael Morton,Corporate,PROD7686,Bookshelf,Furniture,East,Idaho,Lisaborough,6,4072,15,20767.2,18382.43,2384.77,11.48,487,Medium,UPI,Delivered,Newman-Kelly,iharris@king.com,6,Yes,41
ORD1070,2024-12-05,2024-12-10,CUST860,Kelly Cruz,Corporate,PROD5520,Bookshelf,Furniture,South,North Carolina,Downston,10,7002,20,56016.0,49928.63,6087.37,10.87,75,Medium,Credit Card,Delivered,"Hull, Davis and Sandoval",butleradam@acosta.net,15,No,0
ORD1071,2025-02-11,2025-02-18,CUST270,Catherine Ward,Home Office,PROD4538,Calculator,Office Supplies,South,Oklahoma,Christinaport,3,218,20,523.2,314.37,208.83,39.91,489,High,UPI,Delivered,Johnson-Walters,anthonyliu@woods-evans.org,8,Yes,37
ORD1072,2024-09-26,2024-10-03,CUST121,Sarah Ford,Consumer,PROD6869,Pen,Office Supplies,South,Wisconsin,Michaelfurt,6,351,10,1895.4,1167.04,728.36,38.43,429,Medium,Cash,Delivered,"Bradley, Livingston and Gomez",fosterpamela@barry-sanchez.net,33,No,0
ORD1073,2024-05-16,2024-05-22,CUST114,Adam Preston,Corporate,PROD9254,Bookshelf,Furniture,South,Pennsylvania,North Tammyberg,9,4420,0,39780.0,24593.89,15186.11,38.18,295,Medium,Cash,Delivered,Allen PLC,mary91@shaw.biz,27,No,0
ORD1074,2025-02-04,2025-02-08,CUST654,Jessica Bryant,Consumer,PROD3430,Sofa,Furniture,North,Massachusetts,Flowersport,5,7135,20,28540.0,21819.03,6720.97,23.55,216,Medium,UPI,Delivered,Little and Sons,marshallamanda@hall.com,38,No,0
ORD1075,2024-05-18,2024-05-22,CUST640,Jean Ford,Consumer,PROD4522,Dining Table,Furniture,West,Arkansas,Christinaburgh,6,17796,15,90759.6,65312.34,25447.26,28.04,423,High,Net Banking,Delivered,Willis-Hess,elizabeth87@whitehead-white.net,20,No,0
ORD1076,2025-01-28,2025-01-31,CUST583,Derrick Stark,Consumer,PROD2494,Rice Bag,Grocery,North,Vermont,Lake Bryan,7,115,10,724.5,611.14,113.36,15.65,334,High,UPI,Delivered,Price Ltd,daniellejones@moore-park.com,37,No,0
ORD1077,2024-05-29,2024-06-04,CUST111,Ryan Martinez,Home Office,PROD5712,Rice Bag,Grocery,East,Utah,East Johnton,2,380,5,722.0,466.71,255.29,35.36,296,High,UPI,Delivered,Stewart-Brown,hancockshelly@collier.com,6,Yes,31
ORD1078,2024-05-15,2024-05-16,CUST787,Brian Perry,Consumer,PROD1430,Juice Pack,Grocery,East,North Carolina,Amberhaven,3,49,10,132.3,115.96,16.34,12.35,229,High,Credit Card,Delivered,"King, Maldonado and Turner",bethany08@sanchez-duncan.info,11,No,0
ORD1079,2024-07-07,2024-07-12,CUST271,Jennifer Ellis,Consumer,PROD9691,Office Chair,Furniture,South,Massachusetts,North Robert,9,15327,10,124148.7,86096.03,38052.67,30.65,216,Low,Cash,Delivered,"Johnson, Schmitt and Brady",welchryan@jackson.info,38,No,0
ORD1080,2024-06-06,2024-06-07,CUST124,Robert Conrad,Home Office,PROD5458,Office Chair,Furniture,West,New Jersey,Victoriaview,8,16894,15,114879.2,78341.88,36537.32,31.8,436,Low,Net Banking,Delivered,Morrison LLC,fbarr@melton.org,7,Yes,31
ORD1081,2026-03-23,2026-03-24,CUST121,Laurie Fleming,Home Office,PROD6053,Juice Pack,Grocery,North,Hawaii,Christophermouth,7,245,0,1715.0,1032.96,682.04,39.77,204,High,Credit Card,Cancelled,Fuller-Christensen,michael08@mccoy.com,49,No,0
ORD1082,2024-07-02,2024-07-09,CUST110,Mary Johnson,Consumer,PROD8055,Bookshelf,Furniture,South,Idaho,Hallfort,7,7233,5,48099.45,36078.37,12021.08,24.99,476,Low,Cash,Delivered,Lara Group,timothyarias@price.com,22,No,0
ORD1083,2024-08-03,2024-08-07,CUST243,Terry Jones,Corporate,PROD2275,Bookshelf,Furniture,East,New York,Briantown,12,17066,15,174073.2,119562.97,54510.23,31.31,257,High,Credit Card,Delivered,Collins PLC,michellebarrera@perry-rodriguez.com,20,No,0
ORD1084,2025-10-30,2025-11-06,CUST671,Emily Gomez,Home Office,PROD8155,Laptop,Electronics,North,Illinois,Nicholemouth,14,17945,15,213545.5,183896.27,29649.23,13.88,431,Medium,UPI,Delivered,"Trevino, Young and Woods",colemankathleen@wilkinson.com,14,No,0
ORD1085,2024-12-18,2024-12-25,CUST116,Christian Marshall,Home Office,PROD9355,Dining Table,Furniture,South,Delaware,North Johnshire,9,14448,5,123530.4,83604.2,39926.2,32.32,138,Low,Cash,Delivered,Russell and Sons,smithmary@mckinney-perez.com,9,Yes,44
ORD1086,2024-11-03,2024-11-05,CUST843,Kelly Rivera,Corporate,PROD8354,Juice Pack,Grocery,East,Iowa,East Heather,11,904,15,8452.4,6672.46,1779.94,21.06,457,Medium,Cash,Delivered,Butler-Rodriguez,nicholsandrew@lane-young.com,37,No,0
ORD1087,2025-08-05,2025-08-08,CUST517,Audrey Dunlap,Corporate,PROD1932,Rice Bag,Grocery,East,South Carolina,North Sarah,5,871,0,4355.0,3416.51,938.49,21.55,309,Medium,Cash,Delivered,"Hogan, Alvarez and Roberts",elizabeth13@gardner-porter.com,29,No,0
ORD1088,2025-03-19,2025-03-23,CUST785,Kenneth Burton,Home Office,PROD8792,Stapler,Office Supplies,South,Michigan,Saramouth,8,81,10,583.2,521.8,61.4,10.53,93,Low,Credit Card,Delivered,Clark Group,nicholas17@neal.com,41,No,0
ORD1089,2024-05-26,2024-05-27,CUST114,Mallory Gray,Corporate,PROD7108,Stapler,Office Supplies,East,Massachusetts,Heatherside,9,248,0,2232.0,1867.67,364.33,16.32,381,Medium,Cash,Delivered,Hall-Watkins,riveraerin@craig.info,4,Yes,30
ORD1090,2025-10-05,2025-10-10,CUST490,Julie Reed,Corporate,PROD2335,Stapler,Office Supplies,South,Wisconsin,Shepardtown,11,229,0,2519.0,1745.35,773.65,30.71,242,Low,UPI,Delivered,Byrd PLC,ibarradavid@gomez-robles.net,50,No,0
ORD1091,2024-05-31,2024-06-07,CUST122,Chad Bridges,Home Office,PROD9331,Bookshelf,Furniture,East,Texas,South Ryan,6,3597,5,20502.9,14403.69,6099.21,29.75,442,Medium,Credit Card,Delivered,Mitchell Group,parkerchristopher@kennedy.info,12,No,0
ORD1092,2024-05-29,2024-05-31,CUST109,Mary Allen,Consumer,PROD3147,Sofa,Furniture,West,Texas,East Ian,3,8054,20,19329.6,16289.31,3040.29,15.73,134,Low,Cash,Delivered,Clark-Nguyen,coffeyalexander@patterson.biz,28,No,0
ORD1093,2025-11-29,2025-12-03,CUST936,Catherine Jefferson,Consumer,PROD5668,Juice Pack,Grocery,West,North Dakota,Lake Tina,14,259,15,3082.1,2685.1,397.0,12.88,149,Medium,Net Banking,Pending,Mcneil-Gonzalez,jack09@hendricks-ferrell.com,43,No,0
ORD1094,2024-06-04,2024-06-08,CUST996,Patty Perkins,Corporate,PROD4271,Cooking Oil,Grocery,South,Georgia,New Todd,8,913,15,6208.4,5353.1,855.3,13.78,333,High,Cash,Delivered,"Hudson, Jimenez and Bird",ferrelljill@nguyen-harper.com,45,No,0
ORD1095,2025-06-12,2025-06-15,CUST105,James Stafford,Corporate,PROD3414,Juice Pack,Grocery,West,New York,Waltonbury,4,113,10,406.8,357.63,49.17,12.09,262,High,UPI,Delivered,Juarez-Ramos,davidgonzales@vargas.net,25,No,0
ORD1096,2024-06-08,2024-06-10,CUST283,David Oconnor,Corporate,PROD6221,Pen,Office Supplies,North,South Dakota,East Alexandra,7,479,10,3017.7,2641.15,376.55,12.48,291,Low,Net Banking,Delivered,Keith Group,sharonguerrero@newton.com,8,Yes,44
